,essay_id,pred,demographic_value,demographic_variable
107,2091000097,6.0,M,gender
108,AAAXMP138200000981422125_OR,5.0,F,gender
109,AAAXMP138200002166132810_OR,3.0,M,gender
110,AAAXMP138200001090512125_OR,5.0,F,gender
111,AAAXMP138200000931562810_OR,6.0,M,gender
112,5.74267E+12,5.0,M,gender
113,AAAXMP138200001810662125_OR,6.0,M,gender
114,AAAXMP138200001078442850_OR,6.0,M,gender
115,AAAXMP138200001824312850_OR,3.0,M,gender
116,AAAXMP138200001938532144_OR,6.0,F,gender
117,AAAXMP138200002197152850_OR,3.0,M,gender
118,AAAXMP138200000699602850_OR,5.0,F,gender
119,2141004232,3.0,M,gender
120,AAAXMP138200002060552810_OR,6.0,M,gender
121,2271003542,6.0,M,gender
122,AAAXMP138200000789222850_OR,6.0,M,gender
123,2221005240,6.0,F,gender
124,2021006312,6.0,F,gender
125,AAAXMP138200002185462125_OR,6.0,F,gender
126,AAAXMP138200001822882144_OR,6.0,M,gender
127,AAAUUP138180000394042125_OR,2.0,F,gender
128,AAAUUP138180000393462125_OR,2.0,F,gender
129,2251003962,1.0,M,gender
130,AAAXMP138200001805842144_OR,5.0,F,gender
131,4.91241E+12,3.0,M,gender
132,AAAXMP138200001244012810_OR,6.0,M,gender
133,2091002600,2.0,F,gender
134,AAAXMP138200001011982144_OR,6.0,M,gender
135,5.34894E+12,3.0,M,gender
136,AAAXMP138200001198972850_OR,6.0,M,gender
137,AAAXMP138200001504042144_OR,6.0,F,gender
138,AAAXMP138200001277262810_OR,6.0,F,gender
139,5.25464E+12,2.0,M,gender
140,AAAXMP138200000955202125_OR,4.0,F,gender
141,5.09614E+12,5.0,F,gender
142,AAAXMP138200002036082810_OR,6.0,M,gender
143,2241003391,6.0,F,gender
144,AAAXMP138200001041062850_OR,6.0,F,gender
145,2171002394,6.0,M,gender
146,AAAXMP138200001624152125_OR,6.0,F,gender
147,AAAXMP138200001525592125_OR,6.0,M,gender
148,2171006993,3.0,M,gender
149,AAAXMP138200001783352125_OR,5.0,F,gender
150,2081006653,3.0,F,gender
151,2171006021,6.0,F,gender
152,2431006156,2.0,F,gender
153,2141002663,6.0,F,gender
154,AAAXMP138200000777042125_OR,3.0,M,gender
155,AAAXMP138200001514122144_OR,6.0,M,gender
156,2431000174,6.0,F,gender
157,2141006138,5.0,M,gender
158,AAAXMP138200001224322810_OR,6.0,F,gender
159,2171002718,5.0,F,gender
160,AAAXMP138200000792822810_OR,6.0,M,gender
161,5.74698E+12,5.0,M,gender
162,AAAUUP138180000312602125_OR,3.0,M,gender
163,AAAXMP138200001765322144_OR,6.0,M,gender
164,AAAXMP138200000763052125_OR,6.0,M,gender
165,525730115212010thLitAB,5.0,M,gender
166,2311003641,6.0,M,gender
167,5.67226E+12,6.0,M,gender
168,2431003653,3.0,F,gender
169,2271003801,3.0,F,gender
170,AAAXMP138200001978632850_OR,2.0,F,gender
171,2221002453,5.0,M,gender
172,2271002473,6.0,F,gender
173,AAAXMP138200000988232810_OR,3.0,M,gender
174,AAAXMP138200002199112810_OR,6.0,F,gender
175,AAAXMP138200001439402850_OR,3.0,F,gender
176,2421004151,2.0,M,gender
177,AAAXMP138200001905312144_OR,6.0,F,gender
178,AAAXMP138200000600272810_OR,6.0,M,gender
179,5.64178E+12,5.0,M,gender
180,AAAXMP138200001785522125_OR,6.0,M,gender
181,4.63525E+12,6.0,F,gender
182,2431002941,6.0,M,gender
183,2221001473,5.0,F,gender
184,AAAXMP138200000974362144_OR,6.0,M,gender
185,2021005197,5.0,M,gender
186,AAAXMP138200001466462125_OR,6.0,F,gender
187,2421006170,6.0,F,gender
188,AAAXMP138200001380022144_OR,6.0,M,gender
189,AAAXMP138200001731132850_OR,1.0,M,gender
190,5.42834E+12,6.0,F,gender
191,2431005028,1.0,M,gender
192,AAAXMP138200002049472810_OR,3.0,M,gender
193,2141004917,6.0,M,gender
194,2271005391,3.0,F,gender
195,AAAXMP138200001821662144_OR,6.0,M,gender
196,AAAXMP138200002126662850_OR,4.0,F,gender
197,AAAXMP138200001434132810_OR,6.0,F,gender
198,2091006150,6.0,F,gender
199,2221004014,6.0,F,gender
200,2081007765,6.0,F,gender
201,2311006543,3.0,F,gender
202,AAAXMP138200002063312810_OR,6.0,M,gender
203,2221002224,6.0,F,gender
204,AAAXMP138200001846562125_OR,5.0,M,gender
205,2241003595,6.0,M,gender
206,AAAXMP138200001041652144_OR,6.0,F,gender
207,AAAXMP138200000663992810_OR,6.0,M,gender
208,AAAXMP138200000805552850_OR,5.0,F,gender
209,AAAXMP138200002058112144_OR,6.0,F,gender
210,AAAXMP138200002205752850_OR,5.0,F,gender
211,2081004995,6.0,M,gender
212,2171007132,5.0,M,gender
213,AAAXMP138200001899852125_OR,3.0,M,gender
214,AAAXMP138200002009162810_OR,6.0,M,gender
215,AAAXMP138200001862462850_OR,3.0,M,gender
216,2241007591,6.0,F,gender
217,AAAXMP138200001348792125_OR,6.0,F,gender
218,5.72679E+12,6.0,M,gender
219,5.72685E+12,6.0,F,gender
220,2421006650,6.0,F,gender
221,2431003131,2.0,F,gender
222,AAAXMP138200000869932144_OR,6.0,F,gender
223,AAAXMP138200000965972144_OR,6.0,F,gender
224,2171000251,6.0,F,gender
225,2021007033,6.0,F,gender
226,AAAXMP138200001999072810_OR,6.0,F,gender
227,AAAXMP138200002216202850_OR,3.0,M,gender
228,5.25893E+12,3.0,M,gender
229,2251006392,6.0,M,gender
230,AAAXMP138200002204782125_OR,6.0,F,gender
231,AAAXMP138200001628442810_OR,6.0,F,gender
232,2251003431,6.0,M,gender
233,2241002483,6.0,F,gender
234,2081001384,6.0,F,gender
235,AAAXMP138200001642152144_OR,6.0,F,gender
236,2221000981,6.0,M,gender
237,AAAXMP138200001101162144_OR,6.0,M,gender
238,AAAUUP138180000050862125_OR,4.0,F,gender
239,4.4222E+12,5.0,F,gender
240,AAAXMP138200002081132125_OR,2.0,F,gender
241,2081001287,2.0,M,gender
242,5.3396E+12,6.0,M,gender
243,2021003275,5.0,F,gender
244,AAAXMP138200002212532125_OR,6.0,M,gender
245,AAAXMP138200001018352144_OR,6.0,M,gender
246,AAAXMP138200001041642850_OR,3.0,F,gender
247,AAAXMP138200002122252850_OR,6.0,F,gender
248,5.76217E+12,6.0,M,gender
249,2241002645,2.0,M,gender
250,5.83594E+12,5.0,F,gender
251,AAAXMP138200001998792125_OR,6.0,F,gender
252,AAAXMP138200001362032850_OR,6.0,M,gender
253,AAAUUP138180000134642125_OR,5.0,F,gender
254,AAAXMP138200001361412810_OR,3.0,M,gender
255,AAAXMP138200001639032810_OR,6.0,F,gender
256,AAAXMP138200000604822810_OR,5.0,F,gender
257,5.74325E+12,6.0,M,gender
258,AAAXMP138200002036472125_OR,1.0,M,gender
259,AAAXMP138200001905762810_OR,6.0,M,gender
260,2221002470,6.0,M,gender
261,2251004306,6.0,M,gender
262,AAAXMP138200001741042850_OR,2.0,F,gender
263,2221006700,4.0,M,gender
264,AAAXMP138200001252252144_OR,6.0,F,gender
265,2141000717,1.0,M,gender
266,AAAXMP138200001289252810_OR,6.0,F,gender
267,AAAXMP138200000812872810_OR,6.0,M,gender
268,AAAXMP138200001771002810_OR,6.0,F,gender
269,AAAXMP138200001024102810_OR,6.0,M,gender
270,2271003844,3.0,M,gender
271,2241004796,2.0,M,gender
272,2271004247,6.0,F,gender
273,AAAXMP138200002163322850_OR,6.0,M,gender
274,AAAXMP138200001517382810_OR,6.0,F,gender
275,AAAXMP138200001773782810_OR,1.0,M,gender
276,AAAXMP138200001483472850_OR,6.0,F,gender
277,AAAXMP138200001949662144_OR,5.0,F,gender
278,AAAXMP138200001096502144_OR,6.0,F,gender
279,2311001282,6.0,M,gender
280,5.73584E+12,6.0,M,gender
281,AAAXMP138200001441862850_OR,6.0,M,gender
282,AAAUUP138180000368712125_OR,3.0,M,gender
283,2221000876,6.0,M,gender
284,2091003886,6.0,M,gender
285,AAAXMP138200001808882125_OR,6.0,F,gender
286,2221003182,1.0,M,gender
287,AAAXMP138200001689792144_OR,6.0,F,gender
288,2251005396,3.0,M,gender
289,AAAUUP138180000142492125_OR,3.0,M,gender
290,2081001244,6.0,F,gender
291,2421001127,6.0,F,gender
292,AAAXMP138200000808062125_OR,3.0,M,gender
293,AAAXMP138200000762522850_OR,6.0,F,gender
294,2271000101,3.0,M,gender
295,AAAXMP138200002099592125_OR,2.0,F,gender
296,AAAXMP138200002008602810_OR,6.0,F,gender
297,2241001347,6.0,F,gender
298,2421007737,2.0,M,gender
299,AAAXMP138200001760932125_OR,6.0,M,gender
300,AAAUUP138180000065742125_OR,2.0,F,gender
301,AAAUUP138180000392912125_OR,5.0,M,gender
302,AAAXMP138200000641212850_OR,1.0,M,gender
303,2171002246,4.0,F,gender
304,2221003069,1.0,F,gender
305,5.66335E+12,2.0,M,gender
306,2141003147,6.0,F,gender
307,2311005431,6.0,M,gender
308,2141002051,6.0,F,gender
309,AAAXMP138200001849512850_OR,6.0,F,gender
310,AAAXMP138200000684552850_OR,6.0,M,gender
311,AAAXMP138200001042592850_OR,4.0,F,gender
312,2141006634,3.0,F,gender
313,AAAXMP138200001998912850_OR,3.0,M,gender
314,AAAXMP138200001219112125_OR,6.0,M,gender
315,4.9221E+12,5.0,M,gender
316,2141007380,6.0,M,gender
317,AAAXMP138200001114932125_OR,6.0,M,gender
318,2021003372,6.0,F,gender
319,AAAXMP138200002164742850_OR,6.0,F,gender
320,AAAXMP138200001910022144_OR,6.0,F,gender
321,AAAXMP138200001514312125_OR,6.0,M,gender
322,AAAUUP138180000395402125_OR,3.0,F,gender
323,AAAXMP138200001327412810_OR,6.0,M,gender
324,2421000449,6.0,M,gender
325,2221000485,6.0,F,gender
326,AAAXMP138200001031482850_OR,6.0,M,gender
327,AAAXMP138200001302442810_OR,6.0,M,gender
328,AAAXMP138200001017892810_OR,6.0,M,gender
329,AAAXMP138200001552092125_OR,6.0,M,gender
330,AAAXMP138200002148042125_OR,3.0,F,gender
331,AAAXMP138200001817662850_OR,6.0,M,gender
332,AAAXMP138200001619112810_OR,6.0,F,gender
333,AAAXMP138200001858812125_OR,6.0,M,gender
334,AAAXMP138200000923042810_OR,6.0,F,gender
335,2271001507,6.0,M,gender
336,2421001470,6.0,M,gender
337,AAAXMP138200002116342850_OR,2.0,M,gender
338,AAAUUP138180000365982125_OR,6.0,M,gender
339,AAAXMP138200001587602125_OR,2.0,F,gender
340,2431006181,3.0,F,gender
341,AAAXMP138200000466142850_OR,6.0,M,gender
342,AAAXMP138200001086572810_OR,6.0,F,gender
343,AAAXMP138200001622342144_OR,6.0,F,gender
344,2081005941,2.0,M,gender
345,AAAXMP138200001366512810_OR,6.0,M,gender
346,AAAXMP138200000908692810_OR,6.0,F,gender
347,2021007343,1.0,F,gender
348,AAAXMP138200001123672125_OR,6.0,M,gender
349,2021000349,5.0,M,gender
350,AAAXMP138200001927412125_OR,5.0,F,gender
351,AAAXMP138200002056912810_OR,5.0,F,gender
352,AAAXMP138200001720812810_OR,6.0,F,gender
353,2021006681,6.0,M,gender
354,AAAXMP138200001265032144_OR,6.0,F,gender
355,AAAXMP138200001463752810_OR,6.0,M,gender
356,AAAXMP138200001519942125_OR,1.0,F,gender
357,AAAXMP138200000861182125_OR,6.0,F,gender
358,2091001727,6.0,F,gender
359,2141002922,4.0,M,gender
360,2171004982,6.0,M,gender
361,AAAXMP138200001374662125_OR,1.0,M,gender
362,AAAXMP138200001606092144_OR,6.0,M,gender
363,2221007790,6.0,M,gender
364,2221002267,3.0,M,gender
365,2241001100,6.0,F,gender
366,2431003602,6.0,F,gender
367,AAAXMP138200001624782810_OR,6.0,F,gender
368,2251005515,6.0,F,gender
369,2421000481,6.0,M,gender
370,AAAUUP138180000390442125_OR,5.0,M,gender
371,2431002932,6.0,F,gender
372,AAAXMP138200002155582125_OR,3.0,F,gender
373,AAAXMP138200001852172810_OR,6.0,M,gender
374,AAAXMP138200001827782144_OR,6.0,F,gender
375,AAAXMP138200002182562810_OR,6.0,F,gender
376,AAAXMP138200002185692144_OR,6.0,F,gender
377,2091001328,2.0,M,gender
378,2251007780,4.0,F,gender
379,2081004227,6.0,F,gender
380,AAAXMP138200000808702810_OR,4.0,F,gender
381,AAAXMP138200002007802810_OR,6.0,F,gender
382,5.58501E+12,6.0,M,gender
383,AAAXMP138200001181572810_OR,4.0,F,gender
384,AAAXMP138200002096732144_OR,6.0,F,gender
385,2091000585,6.0,F,gender
386,AAAXMP138200000842792810_OR,6.0,M,gender
387,AAAXMP138200001765032144_OR,6.0,F,gender
388,AAAXMP138200001929482125_OR,6.0,M,gender
389,2241005407,6.0,M,gender
390,AAAXMP138200001754102850_OR,6.0,F,gender
391,2271005782,6.0,F,gender
392,2311005199,2.0,M,gender
393,AAAXMP138200001549462125_OR,3.0,M,gender
394,AAAXMP138200000875522850_OR,6.0,M,gender
395,2421001747,6.0,F,gender
396,2141005034,2.0,F,gender
397,AAAXMP138200001468112125_OR,3.0,M,gender
398,5.0757E+12,5.0,M,gender
399,AAAXMP138200001743292850_OR,6.0,F,gender
400,5.74087E+12,6.0,M,gender
401,2311006501,6.0,F,gender
402,AAAXMP138200001779682810_OR,6.0,F,gender
403,AAAXMP138200001496482810_OR,4.0,F,gender
404,AAAXMP138200001941312125_OR,,F,gender
405,AAAXMP138200001833082125_OR,6.0,M,gender
406,5.3667E+12,4.0,M,gender
407,AAAXMP138200001504822125_OR,6.0,M,gender
408,2171005709,4.0,M,gender
409,2081006564,5.0,M,gender
410,AAAXMP138200001528692125_OR,6.0,F,gender
411,2221006564,6.0,M,gender
412,5.86309E+12,6.0,F,gender
413,2271002309,6.0,F,gender
414,AAAXMP138200000576642850_OR,6.0,M,gender
415,AAAXMP138200001074942810_OR,6.0,F,gender
416,2081001376,6.0,F,gender
417,5.47201E+12,6.0,F,gender
418,5.65547E+12,6.0,M,gender
419,AAAUUP138180000193682125_OR_cleaned,5.0,F,gender
420,5.65992E+12,6.0,F,gender
421,2141004003,6.0,M,gender
422,2251005230,4.0,M,gender
423,5.50594E+12,6.0,F,gender
424,2021001680,6.0,M,gender
425,2091001573,6.0,M,gender
426,AAAXMP138200001721952144_OR,6.0,M,gender
427,AAAXMP138200001388062850_OR,3.0,F,gender
428,AAAXMP138200001684042125_OR,3.0,F,gender
429,AAAXMP138200001362462850_OR,6.0,F,gender
430,AAAXMP138200000628492125_OR,5.0,F,gender
431,AAAXMP138200002149332810_OR,6.0,M,gender
432,AAAXMP138200000643142810_OR,6.0,M,gender
433,AAAXMP138200001588732810_OR,6.0,F,gender
434,2091000569,6.0,F,gender
435,2141002299,6.0,M,gender
436,AAAXMP138200001923692125_OR,5.0,F,gender
437,AAAXMP138200001443402125_OR,6.0,M,gender
438,2221007374,6.0,M,gender
439,AAAXMP138200002015542810_OR,6.0,M,gender
440,2271004506,5.0,F,gender
441,5.07804E+12,6.0,F,gender
442,AAAXMP138200001695832144_OR,6.0,M,gender
443,AAAXMP138200001467662125_OR,2.0,M,gender
444,AAAXMP138200001979122810_OR,6.0,M,gender
445,2141001624,6.0,F,gender
446,AAAXMP138200001770712144_OR,6.0,F,gender
447,AAAXMP138200002200972850_OR,6.0,F,gender
448,AAAXMP138200001608872810_OR,6.0,F,gender
449,AAAXMP138200001890772144_OR,6.0,F,gender
450,2271002066,6.0,F,gender
451,AAAXMP138200000806682144_OR_cleaned,5.0,M,gender
452,AAAXMP138200000546242850_OR,6.0,F,gender
453,2311007329,6.0,M,gender
454,AAAXMP138200001679212144_OR,6.0,M,gender
455,5.60315E+12,5.0,M,gender
456,2251000467,6.0,M,gender
457,AAAXMP138200001536862850_OR,6.0,F,gender
458,5.26252E+12,6.0,M,gender
459,2241002840,6.0,F,gender
460,AAAXMP138200000811252144_OR,6.0,M,gender
461,AAAXMP138200002191852850_OR,5.0,F,gender
462,AAAXMP138200000962642144_OR,6.0,F,gender
463,AAAXMP138200002114842810_OR,6.0,M,gender
464,2081002950,6.0,M,gender
465,4.41026E+12,3.0,F,gender
466,AAAXMP138200001353772850_OR,6.0,M,gender
467,AAAXMP138200001127352144_OR,6.0,M,gender
468,AAAXMP138200001665892125_OR,4.0,M,gender
469,AAAXMP138200001455182850_OR,6.0,M,gender
470,AAAXMP138200001031832144_OR,6.0,M,gender
471,5.33932E+12,1.0,F,gender
472,5.30648E+12,4.0,M,gender
473,5.32239E+12,4.0,F,gender
474,5.7843E+12,1.0,F,gender
475,AAAXMP138200001536752125_OR,4.0,M,gender
476,5.81264E+12,5.0,M,gender
477,AAAXMP138200001507942144_OR,6.0,M,gender
478,2241002165,5.0,F,gender
479,AAAXMP138200001814622810_OR,6.0,M,gender
480,5.06775E+12,6.0,M,gender
481,AAAXMP138200002005902810_OR,4.0,F,gender
482,AAAXMP138200000948542125_OR,6.0,F,gender
483,2421007567,4.0,F,gender
484,2171003765,1.0,F,gender
485,AAAXMP138200000958502125_OR,6.0,F,gender
486,AAAXMP138200001609392810_OR,6.0,M,gender
487,AAAXMP138200001745202125_OR,6.0,F,gender
488,AAAXMP138200000752552144_OR,6.0,M,gender
489,AAAXMP138200000909852125_OR,2.0,M,gender
490,AAAXMP138200001156432810_OR,6.0,F,gender
491,AAAXMP138200001607072125_OR,6.0,M,gender
492,AAAXMP138200000990892810_OR,5.0,M,gender
493,5.64166E+12,5.0,M,gender
494,AAAXMP138200002122062850_OR,6.0,F,gender
495,AAAXMP138200002212672810_OR,6.0,F,gender
496,AAAXMP138200000568802125_OR,6.0,M,gender
497,AAAXMP138200000753212810_OR,6.0,F,gender
498,AAAXMP138200001888872125_OR,3.0,F,gender
499,AAAXMP138200001062472125_OR,6.0,F,gender
500,AAAXMP138200001827132810_OR,6.0,M,gender
501,AAAXMP138200000700692125_OR,3.0,M,gender
502,AAAXMP138200001924172850_OR,6.0,F,gender
503,AAAXMP138200001739432810_OR,6.0,M,gender
504,2421005271,5.0,M,gender
505,2311002131,1.0,M,gender
506,AAAXMP138200001906772144_OR,6.0,M,gender
507,AAAXMP138200001906732810_OR,6.0,F,gender
508,AAAXMP138200001940882144_OR,6.0,M,gender
509,2141005557,6.0,M,gender
510,5.04604E+12,6.0,F,gender
511,AAAXMP138200001032802810_OR,6.0,F,gender
512,AAAXMP138200001323092810_OR,6.0,M,gender
513,AAAXMP138200001765472144_OR,6.0,F,gender
514,2171001860,3.0,F,gender
515,AAAXMP138200001691232125_OR,6.0,F,gender
516,AAAXMP138200001824662125_OR,6.0,M,gender
517,4.85864E+12,6.0,M,gender
518,AAAXMP138200001532502144_OR,6.0,F,gender
519,AAAXMP138200001459912125_OR,6.0,F,gender
520,AAAXMP138200000697102810_OR,6.0,M,gender
521,AAAXMP138200000807462810_OR,5.0,F,gender
522,AAAXMP138200002212592810_OR,5.0,F,gender
523,AAAXMP138200001732942125_OR,5.0,F,gender
524,AAAXMP138200001769512125_OR,6.0,M,gender
525,2421000082,6.0,M,gender
526,AAAXMP138200000761522810_OR,6.0,F,gender
527,AAAXMP138200001815742144_OR,6.0,F,gender
528,AAAXMP138200001031472850_OR,6.0,F,gender
529,AAAXMP138200002205252144_OR,6.0,F,gender
530,2171006519,6.0,M,gender
531,2021002392,4.0,M,gender
532,AAAXMP138200000960972810_OR,6.0,M,gender
533,AAAXMP138200001558752144_OR,6.0,F,gender
534,AAAXMP138200001702192144_OR,6.0,F,gender
535,AAAXMP138200002114532125_OR,6.0,F,gender
536,AAAXMP138200001057792850_OR,2.0,M,gender
537,AAAXMP138200001603252850_OR,6.0,M,gender
538,2021000101,5.0,M,gender
539,AAAXMP138200001602382810_OR,6.0,F,gender
540,AAAXMP138200001297782850_OR,4.0,M,gender
541,AAAXMP138200000961072125_OR,3.0,F,gender
542,AAAXMP138200001424002850_OR,3.0,F,gender
543,AAAXMP138200001075182850_OR,2.0,F,gender
544,5.64213E+12,5.0,M,gender
545,AAAXMP138200001733942850_OR,1.0,M,gender
546,AAAXMP138200001268712810_OR,6.0,F,gender
547,AAAXMP138200000777312850_OR,6.0,M,gender
548,AAAXMP138200001259932810_OR,6.0,M,gender
549,AAAXMP138200001061002125_OR,6.0,F,gender
550,AAAXMP138200001712142125_OR,6.0,F,gender
551,2021000845,6.0,F,gender
552,2311003757,6.0,M,gender
553,2421000279,6.0,F,gender
554,AAAXMP138200001976702850_OR,6.0,F,gender
555,AAAXMP138200000772862810_OR,6.0,F,gender
556,AAAXMP138200001231512850_OR,6.0,M,gender
557,2241007221,6.0,M,gender
558,AAAXMP138200000496552810_OR_cleaned,6.0,F,gender
559,AAAXMP138200002200562850_OR,2.0,F,gender
560,2271001698,6.0,M,gender
561,2171005695,3.0,M,gender
562,AAAXMP138200001331302850_OR,6.0,F,gender
563,AAAXMP138200000950142125_OR,4.0,M,gender
564,5.58784E+12,3.0,F,gender
565,AAAXMP138200001879312144_OR,6.0,M,gender
566,AAAXMP138200001142632125_OR,6.0,M,gender
567,AAAXMP138200001692342125_OR,6.0,M,gender
568,AAAXMP138200000824862125_OR,6.0,M,gender
569,2421005343,6.0,M,gender
570,AAAXMP138200001610452144_OR,6.0,F,gender
571,AAAXMP138200000703912810_OR,6.0,F,gender
572,AAAXMP138200002150062810_OR,6.0,M,gender
573,AAAXMP138200001387222144_OR,6.0,M,gender
574,AAAXMP138200001475102125_OR,6.0,M,gender
575,AAAXMP138200000922992810_OR,5.0,M,gender
576,AAAXMP138200002212652850_OR,5.0,F,gender
577,2091004181,3.0,M,gender
578,2431006504,6.0,F,gender
579,AAAXMP138200001866982125_OR,6.0,M,gender
580,AAAXMP138200001072662810_OR,6.0,F,gender
581,AAAXMP138200001490932125_OR,6.0,M,gender
582,2081001996,6.0,F,gender
583,2021002295,6.0,F,gender
584,AAAXMP138200001091642125_OR,6.0,F,gender
585,AAAXMP138200002053552810_OR,6.0,F,gender
586,2141004631,6.0,F,gender
587,AAAXMP138200001211202850_OR,3.0,F,gender
588,5.49057E+12,6.0,M,gender
589,AAAXMP138200000613752810_OR,6.0,F,gender
590,AAAXMP138200001435062810_OR,6.0,F,gender
591,AAAXMP138200001829542850_OR,6.0,M,gender
592,AAAXMP138200001202042144_OR,6.0,F,gender
593,4.96473E+12,3.0,F,gender
594,AAAXMP138200000672222850_OR,6.0,M,gender
595,AAAXMP138200000795442810_OR,3.0,M,gender
596,AAAXMP138200001554662125_OR,6.0,M,gender
597,AAAXMP138200002061702810_OR,6.0,F,gender
598,AAAXMP138200001871282144_OR,6.0,F,gender
599,AAAXMP138200001715942810_OR,6.0,M,gender
600,AAAXMP138200000988022125_OR,2.0,M,gender
601,2021005600,6.0,F,gender
602,2021000071,3.0,M,gender
603,AAAXMP138200001657852125_OR,2.0,M,gender
604,5.32046E+12,5.0,M,gender
605,AAAXMP138200000687322810_OR,6.0,M,gender
606,5.53385E+12,5.0,M,gender
