,essay_id,pred,demographic_value,demographic_variable
177,2021006398,1.0,8,grade_level
178,2021006436,1.0,Black/African American,race_ethnicity
179,2021006444,1.0,Hispanic/Latino,race_ethnicity
180,2021006461,1.0,Not identified as having disability,student_disability_status
181,2021006495,1.0,Not economically disadvantaged,economically_disadvantaged
182,2021006525,1.0,F,gender
183,2021006541,1.0,Not identified as having disability,student_disability_status
184,2021006550,1.0,8,grade_level
185,2021006576,1.0,Black/African American,race_ethnicity
186,2021006584,1.0,F,gender
187,2021006614,1.0,No,ell_status
188,2021006681,1.0,M,gender
189,2021006746,1.0,Not identified as having disability,student_disability_status
190,2021006754,1.0,Not economically disadvantaged,economically_disadvantaged
191,2021006762,1.0,White,race_ethnicity
192,2021006771,1.0,F,gender
193,2021006801,1.0,No,ell_status
194,2021006851,1.0,Not identified as having disability,student_disability_status
195,2021006860,1.0,8,grade_level
196,2021006894,1.0,No,ell_status
197,2021006908,1.0,Not economically disadvantaged,economically_disadvantaged
198,2021006983,1.0,8,grade_level
199,2021007025,1.0,Not economically disadvantaged,economically_disadvantaged
200,2021007033,1.0,F,gender
201,2021007041,1.0,M,gender
202,2021007149,1.0,White,race_ethnicity
203,2021007157,1.0,M,gender
204,2021007165,1.0,White,race_ethnicity
205,2021007203,1.0,White,race_ethnicity
206,2021007271,1.0,Economically disadvantaged,economically_disadvantaged
207,2021007319,1.0,Not economically disadvantaged,economically_disadvantaged
208,2021007343,1.0,F,gender
209,2021007351,1.0,Not economically disadvantaged,economically_disadvantaged
210,2021007432,1.0,No,ell_status
211,2021007483,1.0,No,ell_status
212,2021007491,1.0,White,race_ethnicity
213,2021007564,1.0,Not identified as having disability,student_disability_status
214,2021007602,1.0,No,ell_status
215,2021007696,1.0,Not economically disadvantaged,economically_disadvantaged
216,2021007793,1.0,8,grade_level
217,2021007815,1.0,Not identified as having disability,student_disability_status
218,2021007823,1.0,8,grade_level
219,2081000019,1.0,M,gender
220,2081000124,1.0,Not economically disadvantaged,economically_disadvantaged
221,2081000191,1.0,M,gender
222,2081000264,1.0,No,ell_status
223,2081000272,1.0,No,ell_status
224,2081000299,1.0,M,gender
225,2081000337,1.0,8,grade_level
226,2081000361,1.0,No,ell_status
227,2081000396,1.0,Hispanic/Latino,race_ethnicity
228,2081000400,1.0,Hispanic/Latino,race_ethnicity
229,2081000426,1.0,Asian/Pacific Islander,race_ethnicity
230,2081000442,1.0,Not identified as having disability,student_disability_status
231,2081000469,1.0,Asian/Pacific Islander,race_ethnicity
232,2081000477,1.0,No,ell_status
233,2081000540,1.0,Black/African American,race_ethnicity
234,2081000566,1.0,Economically disadvantaged,economically_disadvantaged
235,2081000655,1.0,No,ell_status
236,2081000868,1.0,M,gender
237,2081000892,1.0,Asian/Pacific Islander,race_ethnicity
238,2081000914,1.0,Not identified as having disability,student_disability_status
239,2081000931,1.0,8,grade_level
240,2081001007,1.0,Economically disadvantaged,economically_disadvantaged
241,2081001015,1.0,Black/African American,race_ethnicity
242,2081001023,1.0,Economically disadvantaged,economically_disadvantaged
243,2081001155,1.0,Not economically disadvantaged,economically_disadvantaged
244,2081001180,1.0,Not identified as having disability,student_disability_status
245,2081001244,1.0,F,gender
246,2081001252,1.0,White,race_ethnicity
247,2081001287,1.0,M,gender
248,2081001376,1.0,F,gender
249,2081001384,1.0,F,gender
250,2081001406,1.0,No,ell_status
251,2081001414,1.0,No,ell_status
252,2081001431,1.0,No,ell_status
253,2081001511,1.0,8,grade_level
254,2081001546,1.0,Not identified as having disability,student_disability_status
255,2081001554,1.0,M,gender
256,2081001686,1.0,Economically disadvantaged,economically_disadvantaged
257,2081001805,1.0,Not identified as having disability,student_disability_status
258,2081001813,1.0,Hispanic/Latino,race_ethnicity
259,2081001864,1.0,No,ell_status
260,2081001881,1.0,8,grade_level
261,2081001996,1.0,F,gender
262,2081002127,1.0,F,gender
263,2081002135,1.0,White,race_ethnicity
264,2081002160,1.0,Economically disadvantaged,economically_disadvantaged
265,2081002194,1.0,8,grade_level
266,2081002224,1.0,Not identified as having disability,student_disability_status
267,2081002232,1.0,Not economically disadvantaged,economically_disadvantaged
268,2081002267,1.0,Not identified as having disability,student_disability_status
269,2081002321,1.0,White,race_ethnicity
270,2081002402,1.0,Not identified as having disability,student_disability_status
271,2081002411,1.0,F,gender
272,2081002429,1.0,No,ell_status
273,2081002437,1.0,M,gender
274,2081002461,1.0,White,race_ethnicity
275,2081002470,1.0,8,grade_level
276,2081002585,1.0,Not identified as having disability,student_disability_status
277,2081002666,1.0,8,grade_level
278,2081002721,1.0,White,race_ethnicity
279,2081002763,1.0,Not identified as having disability,student_disability_status
280,2081002798,1.0,M,gender
281,2081002836,1.0,White,race_ethnicity
282,2081002861,1.0,No,ell_status
283,2081002933,1.0,8,grade_level
284,2081002941,1.0,No,ell_status
285,2081002950,1.0,M,gender
286,2081002984,1.0,Economically disadvantaged,economically_disadvantaged
287,2081003026,1.0,No,ell_status
288,2081003042,1.0,Economically disadvantaged,economically_disadvantaged
289,2081003182,1.0,No,ell_status
290,2081003280,1.0,Not economically disadvantaged,economically_disadvantaged
291,2081003301,1.0,Not identified as having disability,student_disability_status
292,2081003310,1.0,8,grade_level
293,2081003344,1.0,Economically disadvantaged,economically_disadvantaged
294,2081003361,1.0,Not economically disadvantaged,economically_disadvantaged
295,2081003387,1.0,Asian/Pacific Islander,race_ethnicity
296,2081003409,1.0,Hispanic/Latino,race_ethnicity
297,2081003441,1.0,F,gender
298,2081003450,1.0,Identified as having disability,student_disability_status
299,2081003484,1.0,No,ell_status
300,2081003549,1.0,Economically disadvantaged,economically_disadvantaged
301,2081003573,1.0,Not identified as having disability,student_disability_status
302,2081003581,1.0,No,ell_status
303,2081003611,1.0,Not identified as having disability,student_disability_status
304,2081003654,1.0,Not economically disadvantaged,economically_disadvantaged
305,2081003735,1.0,M,gender
306,2081003816,1.0,No,ell_status
307,2081003883,1.0,White,race_ethnicity
308,2081003891,1.0,8,grade_level
309,2081003905,1.0,8,grade_level
310,2081003913,1.0,Not identified as having disability,student_disability_status
311,2081003964,1.0,M,gender
312,2081003999,1.0,Not identified as having disability,student_disability_status
313,2081004014,1.0,8,grade_level
314,2081004065,1.0,Asian/Pacific Islander,race_ethnicity
315,2081004073,1.0,Economically disadvantaged,economically_disadvantaged
316,2081004103,1.0,8,grade_level
317,2081004197,1.0,Not identified as having disability,student_disability_status
318,2081004201,1.0,No,ell_status
319,2081004227,1.0,F,gender
320,2081004251,1.0,8,grade_level
321,2081004286,1.0,No,ell_status
322,2081004421,1.0,No,ell_status
323,2081004481,1.0,Not economically disadvantaged,economically_disadvantaged
324,2081004553,1.0,White,race_ethnicity
325,2081004715,1.0,No,ell_status
326,2081004758,1.0,No,ell_status
327,2081004847,1.0,8,grade_level
328,2081004898,1.0,Not identified as having disability,student_disability_status
329,2081004901,1.0,White,race_ethnicity
330,2081004928,1.0,No,ell_status
331,2081004987,1.0,No,ell_status
332,2081004995,1.0,M,gender
333,2081005029,1.0,8,grade_level
334,2081005045,1.0,White,race_ethnicity
335,2081005053,1.0,Two or more races/Other,race_ethnicity
336,2081005070,1.0,F,gender
337,2081005151,1.0,Not identified as having disability,student_disability_status
338,2081005185,1.0,White,race_ethnicity
339,2081005207,1.0,Hispanic/Latino,race_ethnicity
340,2081005231,1.0,No,ell_status
341,2081005274,1.0,Hispanic/Latino,race_ethnicity
342,2081005291,1.0,No,ell_status
343,2081005312,1.0,8,grade_level
344,2081005321,1.0,White,race_ethnicity
345,2081005347,1.0,Identified as having disability,student_disability_status
346,2081005355,1.0,Black/African American,race_ethnicity
347,2081005398,1.0,8,grade_level
348,2081005410,1.0,F,gender
349,2081005461,1.0,Not economically disadvantaged,economically_disadvantaged
350,2081005479,1.0,Hispanic/Latino,race_ethnicity
351,2081005517,1.0,8,grade_level
352,2081005525,1.0,Not identified as having disability,student_disability_status
353,2081005576,1.0,8,grade_level
354,2081005584,1.0,Economically disadvantaged,economically_disadvantaged
355,2081005606,1.0,No,ell_status
356,2081005622,1.0,No,ell_status
357,2081005649,1.0,Not identified as having disability,student_disability_status
358,2081005665,1.0,Hispanic/Latino,race_ethnicity
359,2081005673,1.0,No,ell_status
360,2081005711,1.0,M,gender
361,2081005762,1.0,8,grade_level
362,2081005835,1.0,M,gender
363,2081005860,1.0,No,ell_status
364,2081005886,1.0,8,grade_level
365,2081005908,1.0,Not economically disadvantaged,economically_disadvantaged
366,2081005941,1.0,M,gender
367,2081006017,1.0,No,ell_status
368,2081006025,1.0,F,gender
369,2081006076,1.0,Not identified as having disability,student_disability_status
370,2081006114,1.0,No,ell_status
371,2081006131,1.0,Not identified as having disability,student_disability_status
372,2081006181,1.0,8,grade_level
373,2081006301,1.0,Not identified as having disability,student_disability_status
374,2081006386,1.0,White,race_ethnicity
375,2081006483,1.0,Economically disadvantaged,economically_disadvantaged
376,2081006491,1.0,Not economically disadvantaged,economically_disadvantaged
377,2081006548,1.0,Two or more races/Other,race_ethnicity
378,2081006564,1.0,M,gender
379,2081006572,1.0,White,race_ethnicity
380,2081006581,1.0,8,grade_level
381,2081006611,1.0,No,ell_status
382,2081006653,1.0,F,gender
383,2081006688,1.0,White,race_ethnicity
384,2081006718,1.0,M,gender
385,2081006751,1.0,Not identified as having disability,student_disability_status
386,2081006785,1.0,Not economically disadvantaged,economically_disadvantaged
387,2081006882,1.0,Not identified as having disability,student_disability_status
388,2081006891,1.0,8,grade_level
389,2081006963,1.0,Not economically disadvantaged,economically_disadvantaged
390,2081007013,1.0,No,ell_status
391,2081007021,1.0,8,grade_level
392,2081007048,1.0,Not identified as having disability,student_disability_status
393,2081007081,1.0,Not identified as having disability,student_disability_status
394,2081007111,1.0,Not economically disadvantaged,economically_disadvantaged
395,2081007153,1.0,F,gender
396,2081007200,1.0,Not identified as having disability,student_disability_status
397,2081007277,1.0,No,ell_status
398,2081007366,1.0,Not economically disadvantaged,economically_disadvantaged
399,2081007480,1.0,No,ell_status
400,2081007498,1.0,White,race_ethnicity
401,2081007510,1.0,No,ell_status
402,2081007536,1.0,Not economically disadvantaged,economically_disadvantaged
403,2081007684,1.0,Not identified as having disability,student_disability_status
404,2081007765,1.0,F,gender
405,2081007803,1.0,White,race_ethnicity
406,2091000020,1.0,Not identified as having disability,student_disability_status
407,2091000054,1.0,No,ell_status
408,2091000071,1.0,Economically disadvantaged,economically_disadvantaged
409,2091000097,1.0,M,gender
410,2091000127,1.0,Not economically disadvantaged,economically_disadvantaged
411,2091000135,1.0,No,ell_status
412,2091000151,1.0,No,ell_status
413,2091000194,1.0,No,ell_status
414,2091000216,1.0,8,grade_level
415,2091000267,1.0,8,grade_level
416,2091000275,1.0,Not identified as having disability,student_disability_status
417,2091000313,1.0,8,grade_level
418,2091000372,1.0,Economically disadvantaged,economically_disadvantaged
419,2091000399,1.0,Economically disadvantaged,economically_disadvantaged
420,2091000488,1.0,Hispanic/Latino,race_ethnicity
421,2091000542,1.0,Hispanic/Latino,race_ethnicity
422,2091000569,1.0,F,gender
423,2091000585,1.0,F,gender
424,2091000631,1.0,Economically disadvantaged,economically_disadvantaged
425,2091000666,1.0,8,grade_level
426,2091000682,1.0,No,ell_status
427,2091000691,1.0,8,grade_level
428,2091000828,1.0,Black/African American,race_ethnicity
429,2091000836,1.0,Not economically disadvantaged,economically_disadvantaged
430,2091000844,1.0,Not identified as having disability,student_disability_status
431,2091000887,1.0,White,race_ethnicity
432,2091000895,1.0,No,ell_status
433,2091000925,1.0,Asian/Pacific Islander,race_ethnicity
434,2091000950,1.0,Not identified as having disability,student_disability_status
435,2091000984,1.0,Not identified as having disability,student_disability_status
436,2091001085,1.0,Not identified as having disability,student_disability_status
437,2091001158,1.0,White,race_ethnicity
438,2091001280,1.0,Not economically disadvantaged,economically_disadvantaged
439,2091001328,1.0,M,gender
440,2091001387,1.0,Not identified as having disability,student_disability_status
441,2091001417,1.0,Not identified as having disability,student_disability_status
442,2091001468,1.0,Not economically disadvantaged,economically_disadvantaged
443,2091001514,1.0,Not economically disadvantaged,economically_disadvantaged
444,2091001549,1.0,F,gender
445,2091001557,1.0,Not economically disadvantaged,economically_disadvantaged
446,2091001573,1.0,M,gender
447,2091001611,1.0,White,race_ethnicity
448,2091001671,1.0,Not identified as having disability,student_disability_status
449,2091001689,1.0,Not identified as having disability,student_disability_status
450,2091001727,1.0,F,gender
451,2091001760,1.0,Not identified as having disability,student_disability_status
452,2091001867,1.0,Economically disadvantaged,economically_disadvantaged
453,2091002006,1.0,Economically disadvantaged,economically_disadvantaged
454,2091002065,1.0,Hispanic/Latino,race_ethnicity
455,2091002146,1.0,Hispanic/Latino,race_ethnicity
456,2091002197,1.0,White,race_ethnicity
457,2091002219,1.0,Not identified as having disability,student_disability_status
458,2091002235,1.0,Not identified as having disability,student_disability_status
459,2091002260,1.0,No,ell_status
460,2091002294,1.0,White,race_ethnicity
461,2091002316,1.0,White,race_ethnicity
462,2091002391,1.0,F,gender
463,2091002472,1.0,M,gender
464,2091002537,1.0,No,ell_status
465,2091002553,1.0,No,ell_status
466,2091002600,1.0,F,gender
467,2091002766,1.0,8,grade_level
468,2091002791,1.0,Economically disadvantaged,economically_disadvantaged
469,2091003011,1.0,Black/African American,race_ethnicity
470,2091003053,1.0,No,ell_status
471,2091003100,1.0,No,ell_status
472,2091003151,1.0,Economically disadvantaged,economically_disadvantaged
473,2091003193,1.0,Not economically disadvantaged,economically_disadvantaged
474,2091003207,1.0,Black/African American,race_ethnicity
475,2091003231,1.0,No,ell_status
476,2091003312,1.0,8,grade_level
477,2091003339,1.0,No,ell_status
478,2091003363,1.0,No,ell_status
479,2091003444,1.0,No,ell_status
480,2091003479,1.0,No,ell_status
481,2091003495,1.0,Not identified as having disability,student_disability_status
482,2091003541,1.0,8,grade_level
483,2091003550,1.0,Economically disadvantaged,economically_disadvantaged
484,2091003614,1.0,Not identified as having disability,student_disability_status
485,2091003657,1.0,8,grade_level
486,2091003690,1.0,8,grade_level
487,2091003703,1.0,8,grade_level
488,2091003711,1.0,White,race_ethnicity
489,2091003720,1.0,Not identified as having disability,student_disability_status
490,2091003746,1.0,White,race_ethnicity
491,2091003771,1.0,8,grade_level
492,2091003797,1.0,Yes,ell_status
493,2091003801,1.0,No,ell_status
494,2091003835,1.0,No,ell_status
495,2091003843,1.0,Not economically disadvantaged,economically_disadvantaged
496,2091003851,1.0,8,grade_level
497,2091003860,1.0,Not economically disadvantaged,economically_disadvantaged
498,2091003878,1.0,White,race_ethnicity
499,2091003886,1.0,M,gender
500,2091003894,1.0,Not identified as having disability,student_disability_status
501,2091003908,1.0,8,grade_level
502,2091003916,1.0,White,race_ethnicity
503,2091003967,1.0,Hispanic/Latino,race_ethnicity
504,2091004009,1.0,M,gender
505,2091004041,1.0,Economically disadvantaged,economically_disadvantaged
506,2091004092,1.0,Asian/Pacific Islander,race_ethnicity
507,2091004106,1.0,8,grade_level
508,2091004149,1.0,Not identified as having disability,student_disability_status
509,2091004173,1.0,Economically disadvantaged,economically_disadvantaged
510,2091004181,1.0,M,gender
511,2091004220,1.0,Not economically disadvantaged,economically_disadvantaged
512,2091004271,1.0,Not identified as having disability,student_disability_status
513,2091004301,1.0,Economically disadvantaged,economically_disadvantaged
514,2091004327,1.0,8,grade_level
515,2091004351,1.0,Not identified as having disability,student_disability_status
516,2091004378,1.0,Hispanic/Latino,race_ethnicity
517,2091004394,1.0,8,grade_level
518,2091004416,1.0,Economically disadvantaged,economically_disadvantaged
519,2091004459,1.0,American Indian/Alaskan Native,race_ethnicity
520,2091004467,1.0,No,ell_status
521,2091004475,1.0,8,grade_level
522,2091004483,1.0,8,grade_level
523,2091004521,1.0,White,race_ethnicity
524,2091004548,1.0,F,gender
525,2091004564,1.0,8,grade_level
526,2091004670,1.0,No,ell_status
527,2091004688,1.0,Not economically disadvantaged,economically_disadvantaged
528,2091004696,1.0,Not identified as having disability,student_disability_status
529,2091004751,1.0,No,ell_status
530,2091004980,1.0,Not identified as having disability,student_disability_status
531,2091005013,1.0,Not identified as having disability,student_disability_status
532,2091005030,1.0,Not economically disadvantaged,economically_disadvantaged
533,2091005056,1.0,Not identified as having disability,student_disability_status
534,2091005129,1.0,No,ell_status
535,2091005153,1.0,Not economically disadvantaged,economically_disadvantaged
536,2091005170,1.0,8,grade_level
537,2091005200,1.0,No,ell_status
538,2091005218,1.0,8,grade_level
539,2091005234,1.0,M,gender
540,2091005242,1.0,No,ell_status
541,2091005251,1.0,8,grade_level
542,2091005269,1.0,M,gender
543,2091005277,1.0,No,ell_status
544,2091005285,1.0,No,ell_status
545,2091005293,1.0,White,race_ethnicity
546,2091005323,1.0,Economically disadvantaged,economically_disadvantaged
547,2091005331,1.0,8,grade_level
548,2091005358,1.0,F,gender
549,2091005391,1.0,8,grade_level
550,2091005412,1.0,Not identified as having disability,student_disability_status
551,2091005439,1.0,8,grade_level
552,2091005447,1.0,No,ell_status
553,2091005471,1.0,Economically disadvantaged,economically_disadvantaged
554,2091005510,1.0,Not identified as having disability,student_disability_status
555,2091005528,1.0,No,ell_status
556,2091005536,1.0,No,ell_status
557,2091005595,1.0,8,grade_level
558,2091005625,1.0,No,ell_status
559,2091005650,1.0,No,ell_status
560,2091005668,1.0,8,grade_level
561,2091005676,1.0,8,grade_level
562,2091005731,1.0,8,grade_level
563,2091005838,1.0,8,grade_level
564,2091005854,1.0,Not identified as having disability,student_disability_status
565,2091005897,1.0,Economically disadvantaged,economically_disadvantaged
566,2091006087,1.0,No,ell_status
567,2091006125,1.0,Asian/Pacific Islander,race_ethnicity
568,2091006133,1.0,Hispanic/Latino,race_ethnicity
569,2091006150,1.0,F,gender
570,2091006176,1.0,Identified as having disability,student_disability_status
571,2091006184,1.0,8,grade_level
572,2091006257,1.0,No,ell_status
573,2091006281,1.0,No,ell_status
574,2091006311,1.0,No,ell_status
575,2091006354,1.0,Identified as having disability,student_disability_status
576,2091006371,1.0,Not identified as having disability,student_disability_status
577,2091006389,1.0,8,grade_level
578,2091006427,1.0,Not economically disadvantaged,economically_disadvantaged
579,2091006443,1.0,Not identified as having disability,student_disability_status
580,2091006460,1.0,Identified as having disability,student_disability_status
581,2091006486,1.0,No,ell_status
582,2091006494,1.0,Not identified as having disability,student_disability_status
583,2091006559,1.0,No,ell_status
584,2091006567,1.0,8,grade_level
585,2091006605,1.0,No,ell_status
586,2091006630,1.0,Not identified as having disability,student_disability_status
587,2091006672,1.0,Economically disadvantaged,economically_disadvantaged
588,2091006681,1.0,Not economically disadvantaged,economically_disadvantaged
589,2091006729,1.0,White,race_ethnicity
590,2091006737,1.0,Economically disadvantaged,economically_disadvantaged
591,2091006745,1.0,Economically disadvantaged,economically_disadvantaged
592,2091006770,1.0,Not identified as having disability,student_disability_status
593,2091006788,1.0,M,gender
594,2091006800,1.0,8,grade_level
595,2091006842,1.0,F,gender
596,2091006885,1.0,No,ell_status
597,2091006893,1.0,8,grade_level
598,2091007041,1.0,No,ell_status
599,2091007059,1.0,No,ell_status
600,2091007113,1.0,M,gender
601,2091007199,1.0,8,grade_level
602,2091007237,1.0,Hispanic/Latino,race_ethnicity
603,2091007288,1.0,8,grade_level
604,2091007326,1.0,Economically disadvantaged,economically_disadvantaged
605,2091007342,1.0,Economically disadvantaged,economically_disadvantaged
606,2091007351,1.0,White,race_ethnicity
607,2091007369,1.0,No,ell_status
608,2091007377,1.0,8,grade_level
609,2091007431,1.0,White,race_ethnicity
610,2091007440,1.0,Not economically disadvantaged,economically_disadvantaged
611,2091007474,1.0,White,race_ethnicity
612,2091007512,1.0,Not identified as having disability,student_disability_status
613,2091007521,1.0,White,race_ethnicity
614,2091007539,1.0,Black/African American,race_ethnicity
615,2091007636,1.0,M,gender
616,2091007652,1.0,Not economically disadvantaged,economically_disadvantaged
617,2091007806,1.0,Not identified as having disability,student_disability_status
618,2141000041,1.0,No,ell_status
619,2141000059,1.0,F,gender
620,2141000075,1.0,8,grade_level
621,2141000091,1.0,No,ell_status
622,2141000156,1.0,M,gender
