essay_id,demographic_value,pred
AAAXMP138200000628492125_OR,"F","Score: 5"
AAAXMP138200002149332810_OR,"M","4"
AAAXMP138200000643142810_OR,"M","4"
AAAXMP138200001588732810_OR,"F","4"
2091000569,"F","3"
2141002299,"M","3"
AAAXMP138200001923692125_OR,"F","3"
AAAXMP138200001443402125_OR,"M","Score: 5"
2221007374,"M","4"
AAAXMP138200002015542810_OR,"M","4"
2271004506,"F","4"
5.07804E+12,"F","4"
AAAXMP138200001695832144_OR,"M","4"
AAAXMP138200001467662125_OR,"M","4"
AAAXMP138200001979122810_OR,"M","4"
2141001624,"F","4"
AAAXMP138200001770712144_OR,"F","4"
AAAXMP138200002200972850_OR,"F","4"
AAAXMP138200001608872810_OR,"F","4"
AAAXMP138200001890772144_OR,"F","Score: 5"
2271002066,"F","Score: 3"
AAAXMP138200000806682144_OR_cleaned,"M","Score: 5"
AAAXMP138200000546242850_OR,"F","Score: 4"
2311007329,"M","Score: 4"
AAAXMP138200001679212144_OR,"M","Score: 4"
5.60315E+12,"M","Score: 5"
2251000467,"M","Score: 4"
AAAXMP138200001536862850_OR,"F","4"
5.26252E+12,"M","3"
2241002840,"F","4"
AAAXMP138200000811252144_OR,"M","Score: 5"
AAAXMP138200002191852850_OR,"F","4"
AAAXMP138200000962642144_OR,"F","4"
AAAXMP138200002114842810_OR,"M","4"
2081002950,"M","Score: 4"
4.41026E+12,"F","4"
AAAXMP138200001353772850_OR,"M","SCORE OF 4"
AAAXMP138200001127352144_OR,"M","Score: 5"
AAAXMP138200001665892125_OR,"M","4"
AAAXMP138200001455182850_OR,"M","Score: 4"
AAAXMP138200001031832144_OR,"M","Score: 5"
5.33932E+12,"F","4"
5.30648E+12,"M","Score: 4"
5.32239E+12,"F","Score: 4"
5.7843E+12,"F","4"
AAAXMP138200001536752125_OR,"M","Score: 5"
5.81264E+12,"M","Score: 4"
AAAXMP138200001507942144_OR,"M","Score: 4"
2241002165,"F","Score: 4"
AAAXMP138200001814622810_OR,"M","4"
5.06775E+12,"M","Score: 4"
AAAXMP138200002005902810_OR,"F","4"
AAAXMP138200000948542125_OR,"F","Score: 5"
2421007567,"F","Score: 4"
2171003765,"F","4"
AAAXMP138200000958502125_OR,"F","Score: 5"
AAAXMP138200001609392810_OR,"M","4"
AAAXMP138200001745202125_OR,"F","4"
AAAXMP138200000752552144_OR,"M","Score: 5"
AAAXMP138200000909852125_OR,"M","4"
AAAXMP138200001156432810_OR,"F","Score: 5"
AAAXMP138200001607072125_OR,"M","SCORE OF 5"
AAAXMP138200000990892810_OR,"M","3"
5.64166E+12,"M","4"
AAAXMP138200002122062850_OR,"F","Score: 4"
AAAXMP138200002212672810_OR,"F","4"
AAAXMP138200000568802125_OR,"M","4"
AAAXMP138200000753212810_OR,"F","4"
AAAXMP138200001888872125_OR,"F","4"
AAAXMP138200001062472125_OR,"F","Score: 5"
AAAXMP138200001827132810_OR,"M","4"
AAAXMP138200000700692125_OR,"M","SCORE OF 2"
AAAXMP138200001924172850_OR,"F","4"
AAAXMP138200001739432810_OR,"M","4"
2421005271,"M","4"
2311002131,"M","Score: 3"
AAAXMP138200001906772144_OR,"M","Score: 5"
AAAXMP138200001906732810_OR,"F","4"
AAAXMP138200001940882144_OR,"M","Score: 4"
2141005557,"M","4"
5.04604E+12,"F","4"
AAAXMP138200001032802810_OR,"F","4"
AAAXMP138200001323092810_OR,"M","4"
AAAXMP138200001765472144_OR,"F","4"
2171001860,"F","3"
AAAXMP138200001691232125_OR,"F","Score: 5"
AAAXMP138200001824662125_OR,"M","Score: 4"
4.85864E+12,"M","4"
AAAXMP138200001532502144_OR,"F","Score: 5"
AAAXMP138200001459912125_OR,"F","4"
AAAXMP138200000697102810_OR,"M","3"
AAAXMP138200000807462810_OR,"F","Score: 4"
AAAXMP138200002212592810_OR,"F","4"
AAAXMP138200001732942125_OR,"F","4"
AAAXMP138200001769512125_OR,"M","4"
2421000082,"M","4"
AAAXMP138200000761522810_OR,"F","4"
AAAXMP138200001815742144_OR,"F","4"
AAAXMP138200001031472850_OR,"F","4"
AAAXMP138200002205252144_OR,"F","4"
2171006519,"M","4"
2021002392,"M","Based on the provided essay, I would give a holistic score of 3."
AAAXMP138200000960972810_OR,"M","4"
AAAXMP138200001558752144_OR,"F","Score: 5"
AAAXMP138200001702192144_OR,"F","Score: 5"
AAAXMP138200002114532125_OR,"F","Score: 5"
AAAXMP138200001057792850_OR,"M","Score: 4"
AAAXMP138200001603252850_OR,"M","4"
2021000101,"M","Based on the provided essay, I would give a holistic score of 4."
AAAXMP138200001602382810_OR,"F","Score: 5"
AAAXMP138200001297782850_OR,"M","Score: 4"
AAAXMP138200000961072125_OR,"F","4"
AAAXMP138200001424002850_OR,"F","4"
AAAXMP138200001075182850_OR,"F","3"
5.64213E+12,"M","4"
AAAXMP138200001733942850_OR,"M","4"
AAAXMP138200001268712810_OR,"F","4"
AAAXMP138200000777312850_OR,"M","SCORE: 5"
AAAXMP138200001259932810_OR,"M","4"
AAAXMP138200001061002125_OR,"F","4"
AAAXMP138200001712142125_OR,"F","4"
2021000845,"F","I would give this essay a score of 3. The student demonstrates some critical thinking and provides adequate"
2311003757,"M","3"
2421000279,"F","4"
AAAXMP138200001976702850_OR,"F","4"
AAAXMP138200000772862810_OR,"F","Score: 5"
AAAXMP138200001231512850_OR,"M","Score: 4"
2241007221,"M","4"
AAAXMP138200000496552810_OR_cleaned,"F","3"
AAAXMP138200002200562850_OR,"F","Score: 2"
2271001698,"M","4"
2171005695,"M","4"
AAAXMP138200001331302850_OR,"F","Score: 4"
AAAXMP138200000950142125_OR,"M","4"
5.58784E+12,"F","4"
AAAXMP138200001879312144_OR,"M","Score: 5"
AAAXMP138200001142632125_OR,"M","SCORE OF 5"
AAAXMP138200001692342125_OR,"M","4"
AAAXMP138200000824862125_OR,"M","4"
2421005343,"M","4"
AAAXMP138200001610452144_OR,"F","4"
AAAXMP138200000703912810_OR,"F","4"
AAAXMP138200002150062810_OR,"M","4"
AAAXMP138200001387222144_OR,"M","Score: 5"
AAAXMP138200001475102125_OR,"M","Score: 4"
AAAXMP138200000922992810_OR,"M","4"
AAAXMP138200002212652850_OR,"F","4"
2091004181,"M","4"
2431006504,"F","3"
AAAXMP138200001866982125_OR,"M","Score: 5"
AAAXMP138200001072662810_OR,"F","4"
AAAXMP138200001490932125_OR,"M","4"
2081001996,"F","4"
2021002295,"F","Score: 3"
AAAXMP138200001091642125_OR,"F","Score: 5"
AAAXMP138200002053552810_OR,"F","4"
2141004631,"F","4"
AAAXMP138200001211202850_OR,"F","3"
5.49057E+12,"M","4"
AAAXMP138200000613752810_OR,"F","Score: 4"
AAAXMP138200001435062810_OR,"F","4"
AAAXMP138200001829542850_OR,"M","Score: 4"
AAAXMP138200001202042144_OR,"F","4"
4.96473E+12,"F","3"
AAAXMP138200000672222850_OR,"M","SCORE: 5"
AAAXMP138200000795442810_OR,"M","Score: 2"
AAAXMP138200001554662125_OR,"M","SCORE OF 5"
AAAXMP138200002061702810_OR,"F","4"
AAAXMP138200001871282144_OR,"F","Score: 5"
AAAXMP138200001715942810_OR,"M","4"
AAAXMP138200000988022125_OR,"M","4"
2021005600,"F","4"
2021000071,"M","3"
AAAXMP138200001657852125_OR,"M","4"
5.32046E+12,"M","Score: 5"
AAAXMP138200000687322810_OR,"M","4"
5.53385E+12,"M","4"
AAAXMP138200000800182144_OR,"M","Score: 5"
2251006627,"M","4"
5.4129E+12,"F","4"
AAAXMP138200002147432850_OR,"F","Score: 5"
AAAXMP138200001832552144_OR,"M","Score: 4"
2171006748,"M","3"
AAAXMP138200000992162125_OR,"F","4"
4.83455E+12,"M","Score: 3"
AAAXMP138200001806182125_OR,"M","Score: 4"
AAAXMP138200001277232810_OR,"F","4"
2021005855,"M","4"
2021002759,"F","4"
AAAXMP138200001679252125_OR,"M","4"
AAAXMP138200000883152850_OR,"F","SCORE OF 5"
5.34352E+12,"M","4"
2171006420,"F","4"
AAAXMP138200001486302144_OR,"M","Score: 5"
AAAXMP138200001906282144_OR,"F","4"
AAAXMP138200001583002810_OR,"M","4"
AAAXMP138200001849342810_OR,"M","4"
5.30818E+12,"M","4"
AAAXMP138200000565882125_OR,"F","SCORE OF 5"
2311001932,"F","I would assign a score of 2 to this essay."
AAAXMP138200001488962125_OR,"F","4"
AAAXMP138200001301552850_OR,"F","Score: 3"
2271003429,"M","4"
2081000191,"M","4"
AAAXMP138200001017952125_OR,"M","4"
AAAXMP138200000805082810_OR,"M","Score: 4"
5.06399E+12,"M","Based on the provided essay, I would assign a holistic grade of 4."
2171003374,"F","3"
AAAXMP138200002042522810_OR,"F","4"
2251001862,"M","4"
2221007102,"M","4"
AAAUUP138180000051632125_OR,"F","Score: 4"
AAAXMP138200001556412125_OR,"M","3"
AAAXMP138200001328292125_OR,"F","Score: 5"
AAAXMP138200002154892125_OR,"F","SCORE OF 4"
2251004292,"F","4"
5.06481E+12,"M","Score: 4"
AAAXMP138200002068262144_OR,"M","Score: 4"
2171003315,"M","3"
2021004964,"F","Score: 3"
AAAXMP138200001868962144_OR,"F","4"
AAAXMP138200001770742125_OR,"M","4"
AAAXMP138200001100102810_OR,"M","Score: 5"
2311004141,"F","3"
AAAXMP138200002149812810_OR,"F","4"
2251002419,"F","4"
2141001101,"M","3"
2171001665,"F","4"
2421006072,"M","4"
2081002127,"F","Score: 2"
AAAXMP138200000811742144_OR,"M","Score: 5"
AAAXMP138200001028022810_OR,"F","3"
AAAXMP138200000795042810_OR,"M","4"
2091007113,"M","4"
AAAXMP138200001050382125_OR,"F","4"
AAAXMP138200001264952810_OR,"F","4"
AAAXMP138200001210212125_OR,"M","Score: 5"
AAAXMP138200001734452125_OR,"M","4"
5.94763E+12,"M","3"
AAAXMP138200001153932144_OR,"F","Score: 4"
AAAXMP138200000576822125_OR,"M","Score: 4"
5.26214E+12,"M","Score: 5"
AAAXMP138200001339722810_OR,"M","Score: 5"
2141005999,"F","4"
AAAXMP138200001986212125_OR,"F","4"
2221006289,"F","4"
AAAUUP138180000132272125_OR,"F","Score: 4"
AAAXMP138200001524142810_OR,"M","Score: 4"
AAAXMP138200002028602810_OR,"M","Score: 5"
AAAXMP138200001018752125_OR,"F","4"
AAAXMP138200001977192810_OR,"M","3"
2311004524,"F","4"
2421002026,"F","4"
2431006920,"M","4"
AAAXMP138200001955532125_OR,"F","SCORE OF 4"
AAAXMP138200001329982810_OR,"F","4"
AAAXMP138200000506652810_OR,"F","4"
2021007157,"M","Score: 3"
2141007428,"M","3"
2141000156,"M","4"
AAAXMP138200001918712850_OR,"M","Score: 5"
AAAXMP138200001064182850_OR,"M","4"
AAAXMP138200000807792125_OR,"M","Score: 5"
2171005164,"F","3"
2221000086,"M","3"
AAAXMP138200001858572125_OR,"M","Score: 4"
5.74436E+12,"F","4"
2431005168,"M","SCORE OF 2"
2421001356,"F","4"
2171001100,"M","4"
2421003332,"M","4"
2431004331,"F","4"
AAAXMP138200000929882144_OR,"F","Score: 5"
AAAXMP138200002045992810_OR,"F","Score: 4"
AAAXMP138200002147752810_OR,"F","4"
