essay_id,demographic_value,pred
2021003275,"F","4"
AAAXMP138200002212532125_OR,"M","6"
AAAXMP138200001018352144_OR,"M","3"
AAAXMP138200001041642850_OR,"F","5"
AAAXMP138200002122252850_OR,"F","5"
5.76217E+12,"M","4"
2241002645,"M","5"
5.83594E+12,"F","5"
AAAXMP138200001998792125_OR,"F","5"
AAAXMP138200001362032850_OR,"M","6"
AAAUUP138180000134642125_OR,"F","6"
AAAXMP138200001361412810_OR,"M","5"
AAAXMP138200001639032810_OR,"F","4"
AAAXMP138200000604822810_OR,"F","5"
5.74325E+12,"M","6"
AAAXMP138200002036472125_OR,"M","5"
AAAXMP138200001905762810_OR,"M","5"
2221002470,"M","3"
2251004306,"M","5"
AAAXMP138200001741042850_OR,"F","1"
2221006700,"M","5"
AAAXMP138200001252252144_OR,"F","4"
2141000717,"M","5"
AAAXMP138200001289252810_OR,"F","5"
AAAXMP138200000812872810_OR,"M","5"
AAAXMP138200001771002810_OR,"F","4"
AAAXMP138200001024102810_OR,"M","5"
2271003844,"M","5"
2241004796,"M","1"
2271004247,"F","3"
AAAXMP138200002163322850_OR,"M","5"
AAAXMP138200001517382810_OR,"F","4"
AAAXMP138200001773782810_OR,"M","5"
AAAXMP138200001483472850_OR,"F","3"
AAAXMP138200001949662144_OR,"F","5"
AAAXMP138200001096502144_OR,"F","4"
2311001282,"M","4"
5.73584E+12,"M","4"
AAAXMP138200001441862850_OR,"M","4"
AAAUUP138180000368712125_OR,"M","1"
2221000876,"M","5"
2091003886,"M","5"
AAAXMP138200001808882125_OR,"F","5"
2221003182,"M","6"
AAAXMP138200001689792144_OR,"F","5"
2251005396,"M","1"
AAAUUP138180000142492125_OR,"M","5"
2081001244,"F","6"
2421001127,"F","5"
AAAXMP138200000808062125_OR,"M","1"
AAAXMP138200000762522850_OR,"F","5"
2271000101,"M","5"
AAAXMP138200002099592125_OR,"F","6"
AAAXMP138200002008602810_OR,"F","4"
2241001347,"F","5"
2421007737,"M","6"
AAAXMP138200001760932125_OR,"M","4"
AAAUUP138180000065742125_OR,"F","1"
AAAUUP138180000392912125_OR,"M","5"
AAAXMP138200000641212850_OR,"M","5"
2171002246,"F","4"
2221003069,"F","4"
5.66335E+12,"M","1"
2141003147,"F","1"
2311005431,"M","6"
2141002051,"F","6"
AAAXMP138200001849512850_OR,"F","4"
AAAXMP138200000684552850_OR,"M","4"
AAAXMP138200001042592850_OR,"F","3"
2141006634,"F","5"
AAAXMP138200001998912850_OR,"M","3"
AAAXMP138200001219112125_OR,"M","5"
4.9221E+12,"M","5"
2141007380,"M","5"
AAAXMP138200001114932125_OR,"M","6"
2021003372,"F","5"
AAAXMP138200002164742850_OR,"F","1"
AAAXMP138200001910022144_OR,"F","5"
AAAXMP138200001514312125_OR,"M","5"
AAAUUP138180000395402125_OR,"F","5"
AAAXMP138200001327412810_OR,"M","4"
2421000449,"M","6"
2221000485,"F","5"
AAAXMP138200001031482850_OR,"M","6"
AAAXMP138200001302442810_OR,"M","4"
AAAXMP138200001017892810_OR,"M","5"
AAAXMP138200001552092125_OR,"M","6"
AAAXMP138200002148042125_OR,"F","5"
AAAXMP138200001817662850_OR,"M","5"
AAAXMP138200001619112810_OR,"F","3"
AAAXMP138200001858812125_OR,"M","3"
AAAXMP138200000923042810_OR,"F","5"
2271001507,"M","5"
2421001470,"M","6"
AAAXMP138200002116342850_OR,"M","5"
AAAUUP138180000365982125_OR,"M","1"
AAAXMP138200001587602125_OR,"F","6"
2431006181,"F","4"
AAAXMP138200000466142850_OR,"M","5"
AAAXMP138200001086572810_OR,"F","6"
AAAXMP138200001622342144_OR,"F","6"
2081005941,"M","2"
AAAXMP138200001366512810_OR,"M","4"
AAAXMP138200000908692810_OR,"F","6"
2021007343,"F","6"
AAAXMP138200001123672125_OR,"M","6"
2021000349,"M","3"
AAAXMP138200001927412125_OR,"F","4"
AAAXMP138200002056912810_OR,"F","5"
AAAXMP138200001720812810_OR,"F","5"
2021006681,"M","6"
AAAXMP138200001265032144_OR,"F","6"
AAAXMP138200001463752810_OR,"M","6"
AAAXMP138200001519942125_OR,"F","5"
AAAXMP138200000861182125_OR,"F","5"
2091001727,"F","6"
2141002922,"M","5"
2171004982,"M","4"
AAAXMP138200001374662125_OR,"M","5"
AAAXMP138200001606092144_OR,"M","5"
2221007790,"M","6"
2221002267,"M","5"
2241001100,"F","6"
2431003602,"F","5"
AAAXMP138200001624782810_OR,"F","5"
2251005515,"F","5"
2421000481,"M","6"
AAAUUP138180000390442125_OR,"M","3"
2431002932,"F","5"
AAAXMP138200002155582125_OR,"F","1"
AAAXMP138200001852172810_OR,"M","4"
AAAXMP138200001827782144_OR,"F","5"
AAAXMP138200002182562810_OR,"F","5"
AAAXMP138200002185692144_OR,"F","4"
2091001328,"M","5"
2251007780,"F","5"
2081004227,"F","5"
AAAXMP138200000808702810_OR,"F","4"
AAAXMP138200002007802810_OR,"F","5"
5.58501E+12,"M","6"
AAAXMP138200001181572810_OR,"F","5"
AAAXMP138200002096732144_OR,"F","5"
2091000585,"F","4"
AAAXMP138200000842792810_OR,"M","6"
AAAXMP138200001765032144_OR,"F","5"
AAAXMP138200001929482125_OR,"M","5"
2241005407,"M","5"
AAAXMP138200001754102850_OR,"F","4"
2271005782,"F","6"
2311005199,"M","4"
AAAXMP138200001549462125_OR,"M","3"
AAAXMP138200000875522850_OR,"M","5"
2421001747,"F","4"
2141005034,"F","4"
AAAXMP138200001468112125_OR,"M","1"
5.0757E+12,"M","4"
AAAXMP138200001743292850_OR,"F","6"
5.74087E+12,"M","5"
2311006501,"F","6"
AAAXMP138200001779682810_OR,"F","5"
AAAXMP138200001496482810_OR,"F","5"
AAAXMP138200001941312125_OR,"F","1"
AAAXMP138200001833082125_OR,"M","5"
5.3667E+12,"M","5"
AAAXMP138200001504822125_OR,"M","5"
2171005709,"M","1"
2081006564,"M","1"
AAAXMP138200001528692125_OR,"F","1"
2221006564,"M","5"
5.86309E+12,"F","4"
2271002309,"F","4"
AAAXMP138200000576642850_OR,"M","3"
AAAXMP138200001074942810_OR,"F","5"
2081001376,"F","4"
5.47201E+12,"F","4"
5.65547E+12,"M","5"
AAAUUP138180000193682125_OR_cleaned,"F","5"
5.65992E+12,"F","5"
2141004003,"M","3"
2251005230,"M","5"
5.50594E+12,"F","1"
2021001680,"M","6"
2091001573,"M","5"
AAAXMP138200001721952144_OR,"M","5"
AAAXMP138200001388062850_OR,"F","5"
AAAXMP138200001684042125_OR,"F","5"
AAAXMP138200001362462850_OR,"F","5"
AAAXMP138200000628492125_OR,"F","5"
AAAXMP138200002149332810_OR,"M","5"
AAAXMP138200000643142810_OR,"M","5"
AAAXMP138200001588732810_OR,"F","5"
2091000569,"F","5"
2141002299,"M","2"
AAAXMP138200001923692125_OR,"F","5"
AAAXMP138200001443402125_OR,"M","5"
2221007374,"M","5"
AAAXMP138200002015542810_OR,"M","4"
2271004506,"F","3"
5.07804E+12,"F","4"
AAAXMP138200001695832144_OR,"M","4"
AAAXMP138200001467662125_OR,"M","6"
AAAXMP138200001979122810_OR,"M","5"
2141001624,"F","5"
AAAXMP138200001770712144_OR,"F","3"
AAAXMP138200002200972850_OR,"F","5"
AAAXMP138200001608872810_OR,"F","5"
AAAXMP138200001890772144_OR,"F","5"
2271002066,"F","5"
AAAXMP138200000806682144_OR_cleaned,"M","5"
AAAXMP138200000546242850_OR,"F","5"
2311007329,"M","3"
AAAXMP138200001679212144_OR,"M","5"
5.60315E+12,"M","2"
2251000467,"M","5"
AAAXMP138200001536862850_OR,"F","6"
5.26252E+12,"M","3"
2241002840,"F","5"
AAAXMP138200000811252144_OR,"M","6"
AAAXMP138200002191852850_OR,"F","6"
AAAXMP138200000962642144_OR,"F","4"
AAAXMP138200002114842810_OR,"M","5"
2081002950,"M","5"
4.41026E+12,"F","4"
AAAXMP138200001353772850_OR,"M","5"
AAAXMP138200001127352144_OR,"M","6"
AAAXMP138200001665892125_OR,"M","3"
AAAXMP138200001455182850_OR,"M","5"
AAAXMP138200001031832144_OR,"M","5"
5.33932E+12,"F","3"
5.30648E+12,"M","4"
5.32239E+12,"F","6"
5.7843E+12,"F","2"
AAAXMP138200001536752125_OR,"M","3"
5.81264E+12,"M","6"
AAAXMP138200001507942144_OR,"M","5"
2241002165,"F","6"
AAAXMP138200001814622810_OR,"M","3"
5.06775E+12,"M","3"
AAAXMP138200002005902810_OR,"F","1"
AAAXMP138200000948542125_OR,"F","5"
2421007567,"F","6"
2171003765,"F","6"
AAAXMP138200000958502125_OR,"F","5"
AAAXMP138200001609392810_OR,"M","6"
AAAXMP138200001745202125_OR,"F","4"
AAAXMP138200000752552144_OR,"M","6"
AAAXMP138200000909852125_OR,"M","4"
AAAXMP138200001156432810_OR,"F","6"
AAAXMP138200001607072125_OR,"M","4"
AAAXMP138200000990892810_OR,"M","5"
5.64166E+12,"M","1"
AAAXMP138200002122062850_OR,"F","5"
AAAXMP138200002212672810_OR,"F","5"
AAAXMP138200000568802125_OR,"M","3"
AAAXMP138200000753212810_OR,"F","4"
AAAXMP138200001888872125_OR,"F","6"
AAAXMP138200001062472125_OR,"F","5"
AAAXMP138200001827132810_OR,"M","5"
AAAXMP138200000700692125_OR,"M","1"
AAAXMP138200001924172850_OR,"F","5"
AAAXMP138200001739432810_OR,"M","5"
2421005271,"M","4"
2311002131,"M","1"
AAAXMP138200001906772144_OR,"M","6"
AAAXMP138200001906732810_OR,"F","5"
AAAXMP138200001940882144_OR,"M","4"
2141005557,"M","1"
5.04604E+12,"F","3"
AAAXMP138200001032802810_OR,"F","5"
AAAXMP138200001323092810_OR,"M","5"
AAAXMP138200001765472144_OR,"F","4"
2171001860,"F","3"
AAAXMP138200001691232125_OR,"F","5"
AAAXMP138200001824662125_OR,"M","5"
4.85864E+12,"M","5"
AAAXMP138200001532502144_OR,"F","5"
AAAXMP138200001459912125_OR,"F","5"
AAAXMP138200000697102810_OR,"M","3"
AAAXMP138200000807462810_OR,"F","5"
AAAXMP138200002212592810_OR,"F","6"
AAAXMP138200001732942125_OR,"F","3"
AAAXMP138200001769512125_OR,"M","4"
2421000082,"M","4"
AAAXMP138200000761522810_OR,"F","4"
AAAXMP138200001815742144_OR,"F","6"
AAAXMP138200001031472850_OR,"F","5"
AAAXMP138200002205252144_OR,"F","5"
2171006519,"M","5"
2021002392,"M","5"
AAAXMP138200000960972810_OR,"M","6"
AAAXMP138200001558752144_OR,"F","6"
AAAXMP138200001702192144_OR,"F","5"
AAAXMP138200002114532125_OR,"F","6"
AAAXMP138200001057792850_OR,"M","1"
AAAXMP138200001603252850_OR,"M","3"
2021000101,"M","5"
AAAXMP138200001602382810_OR,"F","5"
AAAXMP138200001297782850_OR,"M","5"
AAAXMP138200000961072125_OR,"F","5"
AAAXMP138200001424002850_OR,"F","1"
AAAXMP138200001075182850_OR,"F","3"
5.64213E+12,"M","6"
AAAXMP138200001733942850_OR,"M","3"
AAAXMP138200001268712810_OR,"F","5"
AAAXMP138200000777312850_OR,"M","6"
AAAXMP138200001259932810_OR,"M","5"
AAAXMP138200001061002125_OR,"F","3"
AAAXMP138200001712142125_OR,"F","6"
2021000845,"F","5"
2311003757,"M","5"
2421000279,"F","5"
AAAXMP138200001976702850_OR,"F","4"
AAAXMP138200000772862810_OR,"F","5"
AAAXMP138200001231512850_OR,"M","5"
2241007221,"M","4"
AAAXMP138200000496552810_OR_cleaned,"F","5"
AAAXMP138200002200562850_OR,"F","5"
2271001698,"M","5"
2171005695,"M","5"
AAAXMP138200001331302850_OR,"F","4"
AAAXMP138200000950142125_OR,"M","5"
5.58784E+12,"F","4"
AAAXMP138200001879312144_OR,"M","6"
AAAXMP138200001142632125_OR,"M","4"
AAAXMP138200001692342125_OR,"M","5"
AAAXMP138200000824862125_OR,"M","4"
2421005343,"M","5"
AAAXMP138200001610452144_OR,"F","6"
AAAXMP138200000703912810_OR,"F","5"
AAAXMP138200002150062810_OR,"M","6"
AAAXMP138200001387222144_OR,"M","5"
AAAXMP138200001475102125_OR,"M","5"
AAAXMP138200000922992810_OR,"M","4"
AAAXMP138200002212652850_OR,"F","4"
2091004181,"M","5"
2431006504,"F","4"
AAAXMP138200001866982125_OR,"M","5"
AAAXMP138200001072662810_OR,"F","5"
AAAXMP138200001490932125_OR,"M","4"
2081001996,"F","4"
2021002295,"F","5"
AAAXMP138200001091642125_OR,"F","6"
AAAXMP138200002053552810_OR,"F","4"
2141004631,"F","3"
AAAXMP138200001211202850_OR,"F","4"
5.49057E+12,"M","1"
AAAXMP138200000613752810_OR,"F","6"
AAAXMP138200001435062810_OR,"F","6"
AAAXMP138200001829542850_OR,"M","5"
AAAXMP138200001202042144_OR,"F","6"
4.96473E+12,"F","1"
AAAXMP138200000672222850_OR,"M","6"
AAAXMP138200000795442810_OR,"M","5"
AAAXMP138200001554662125_OR,"M","5"
AAAXMP138200002061702810_OR,"F","4"
AAAXMP138200001871282144_OR,"F","6"
AAAXMP138200001715942810_OR,"M","5"
AAAXMP138200000988022125_OR,"M","5"
2021005600,"F","4"
2021000071,"M","6"
AAAXMP138200001657852125_OR,"M","5"
5.32046E+12,"M","4"
AAAXMP138200000687322810_OR,"M","5"
5.53385E+12,"M","1"
AAAXMP138200000800182144_OR,"M","4"
2251006627,"M","6"
5.4129E+12,"F","1"
AAAXMP138200002147432850_OR,"F","6"
AAAXMP138200001832552144_OR,"M","6"
2171006748,"M","5"
AAAXMP138200000992162125_OR,"F","4"
4.83455E+12,"M","6"
AAAXMP138200001806182125_OR,"M","5"
AAAXMP138200001277232810_OR,"F","5"
2021005855,"M","2"
2021002759,"F","5"
AAAXMP138200001679252125_OR,"M","3"
AAAXMP138200000883152850_OR,"F","6"
5.34352E+12,"M","5"
2171006420,"F","5"
AAAXMP138200001486302144_OR,"M","6"
AAAXMP138200001906282144_OR,"F","5"
AAAXMP138200001583002810_OR,"M","5"
AAAXMP138200001849342810_OR,"M","5"
5.30818E+12,"M","3"
AAAXMP138200000565882125_OR,"F","6"
2311001932,"F","5"
AAAXMP138200001488962125_OR,"F","5"
AAAXMP138200001301552850_OR,"F","5"
2271003429,"M","5"
2081000191,"M","5"
AAAXMP138200001017952125_OR,"M","3"
AAAXMP138200000805082810_OR,"M","5"
5.06399E+12,"M","5"
2171003374,"F","4"
AAAXMP138200002042522810_OR,"F","6"
2251001862,"M","3"
2221007102,"M","5"
AAAUUP138180000051632125_OR,"F","1"
AAAXMP138200001556412125_OR,"M","1"
AAAXMP138200001328292125_OR,"F","6"
AAAXMP138200002154892125_OR,"F","4"
2251004292,"F","5"
5.06481E+12,"M","4"
AAAXMP138200002068262144_OR,"M","1"
2171003315,"M","1"
2021004964,"F","5"
AAAXMP138200001868962144_OR,"F","3"
AAAXMP138200001770742125_OR,"M","4"
AAAXMP138200001100102810_OR,"M","6"
2311004141,"F","4"
AAAXMP138200002149812810_OR,"F","6"
2251002419,"F","5"
2141001101,"M","3"
2171001665,"F","4"
2421006072,"M","4"
2081002127,"F","5"
AAAXMP138200000811742144_OR,"M","5"
AAAXMP138200001028022810_OR,"F","4"
AAAXMP138200000795042810_OR,"M","6"
2091007113,"M","6"
AAAXMP138200001050382125_OR,"F","6"
AAAXMP138200001264952810_OR,"F","6"
AAAXMP138200001210212125_OR,"M","4"
AAAXMP138200001734452125_OR,"M","4"
5.94763E+12,"M","2"
AAAXMP138200001153932144_OR,"F","5"
AAAXMP138200000576822125_OR,"M","4"
5.26214E+12,"M","6"
AAAXMP138200001339722810_OR,"M","4"
2141005999,"F","4"
AAAXMP138200001986212125_OR,"F","3"
2221006289,"F","5"
AAAUUP138180000132272125_OR,"F","6"
AAAXMP138200001524142810_OR,"M","6"
AAAXMP138200002028602810_OR,"M","5"
AAAXMP138200001018752125_OR,"F","3"
AAAXMP138200001977192810_OR,"M","6"
2311004524,"F","3"
2421002026,"F","5"
2431006920,"M","6"
AAAXMP138200001955532125_OR,"F","6"
AAAXMP138200001329982810_OR,"F","5"
AAAXMP138200000506652810_OR,"F","6"
2021007157,"M","6"
2141007428,"M","5"
2141000156,"M","6"
AAAXMP138200001918712850_OR,"M","5"
AAAXMP138200001064182850_OR,"M","4"
AAAXMP138200000807792125_OR,"M","6"
2171005164,"F","4"
2221000086,"M","5"
AAAXMP138200001858572125_OR,"M","4"
5.74436E+12,"F","6"
2431005168,"M","5"
2421001356,"F","5"
2171001100,"M","5"
2421003332,"M","1"
2431004331,"F","4"
AAAXMP138200000929882144_OR,"F","5"
AAAXMP138200002045992810_OR,"F","6"
AAAXMP138200002147752810_OR,"F","3"
AAAXMP138200001456652144_OR,"M","5"
2081002411,"F","5"
2311007817,"M","3"
2081005835,"M","4"
AAAXMP138200001316152850_OR,"F","3"
2091005234,"M","6"
AAAXMP138200000816162810_OR,"M","6"
AAAXMP138200002079992125_OR,"F","4"
AAAXMP138200000945392125_OR,"F","4"
AAAXMP138200002198012810_OR,"F","5"
AAAXMP138200001100682125_OR,"F","6"
AAAXMP138200001786402144_OR,"M","5"
AAAXMP138200002111742850_OR,"F","6"
2141002396,"M","2"
AAAXMP138200001867562125_OR,"F","5"
2251002346,"F","3"
AAAXMP138200002185902144_OR,"F","4"
AAAXMP138200001661792144_OR,"F","6"
2251001749,"M","5"
2171003749,"F","5"
AAAXMP138200001858622810_OR,"F","5"
AAAXMP138200001059072144_OR,"M","6"
AAAXMP138200001826372125_OR,"M","5"
AAAXMP138200002085022810_OR,"F","6"
AAAXMP138200001843912125_OR,"F","5"
5.05228E+12,"F","6"
2271005715,"F","5"
2271002082,"M","5"
AAAXMP138200001954292125_OR,"F","6"
AAAXMP138200000496192810_OR,"M","5"
AAAXMP138200001307282810_OR,"F","6"
AAAXMP138200000503642850_OR,"F","3"
AAAXMP138200001782122125_OR,"M","4"
2421001542,"F","4"
2241001738,"F","6"
AAAXMP138200001550782850_OR,"F","4"
2431004323,"F","5"
5.33202E+12,"F","1"
AAAXMP138200000716842810_OR,"F","6"
2241005661,"M","1"
AAAUUP138180000379852125_OR,"F","5"
2021006380,"M","4"
AAAXMP138200001719602125_OR,"F","5"
AAAXMP138200001078522125_OR,"F","3"
AAAXMP138200000509892850_OR,"F","4"
515931115212610thLitB,"M","4"
AAAUUP138180000036092125_OR,"F","5"
5.90796E+12,"M","4"
AAAXMP138200001658052850_OR,"M","6"
2081003441,"F","4"
2171001207,"F","3"
5.65724E+12,"F","6"
AAAXMP138200000705952810_OR,"F","5"
AAAXMP138200001070272810_OR,"M","6"
AAAXMP138200001883202850_OR,"F","5"
2141005816,"F","5"
AAAXMP138200000956232125_OR,"F","5"
AAAXMP138200001472622810_OR,"F","6"
2091004548,"F","5"
AAAXMP138200001442612810_OR,"F","5"
AAAXMP138200000752592144_OR,"M","5"
AAAXMP138200000605632850_OR,"F","5"
AAAXMP138200001068332810_OR,"M","6"
AAAUUP138180000090312125_OR,"M","5"
AAAXMP138200001862882125_OR,"M","2"
AAAXMP138200001932572125_OR,"M","4"
AAAXMP138200000944452810_OR,"M","5"
2311000901,"M","5"
2171003072,"M","5"
AAAXMP138200001817292125_OR,"F","5"
AAAXMP138200001875612125_OR,"F","6"
AAAXMP138200002054952810_OR,"F","5"
AAAXMP138200001274702850_OR,"F","6"
AAAXMP138200000709272810_OR,"M","4"
